0,-65.51075,-88.1142,335.5654,359.9389,0.4873711
0,-65.51075,-88.1142,335.6387,359.9389,0.4873893
0,-65.51075,-88.1142,335.6387,359.9389,0.4873893
0,-65.51075,-88.1142,335.6387,359.9389,0.4873893
0,-65.51075,-88.1142,335.6387,359.9389,0.4873893
-0.2969352,-65.51075,-88.11475,335.3454,359.5027,0.2972536
0.2311365,-65.25504,-88.04967,334.9094,0.1041804,0.267568
0.2314057,-65.10425,-87.95614,334.5463,0.327435,1.116867
0.1984367,-65.07134,-87.92003,334.3765,0.3036655,1.556368
0.3637998,-65.07134,-87.92061,334.3031,0.4770087,1.658905
0.4632242,-65.03856,-87.88511,334.2065,0.5475691,1.512386
0.3387202,-59.32594,-76.82396,330.1823,0.8103814,357.7994
-4.682059,-50.86112,-70.26618,334.3159,357.5267,356.1041
-6.51996,-50.94373,-62.77758,334.3951,359.2935,356.5502
-2.659009,-51.1936,-56.88014,333.6379,0.1859198,355.943
-0.8018731,-51.33808,-46.47139,331.5739,358.5087,355.1921
-2.52447,-48.90478,-34.90307,330.1855,357.0524,355.3937
-6.440302,-45.76123,-26.06299,330.8176,356.9246,355.3387
-9.451423,-45.13752,-23.07982,331.8589,357.3872,355.007
-15.40953,-44.51299,-20.76363,331.5075,356.2827,354.277
-23.62118,-41.67247,-15.13517,330.9295,358.5036,352.35
-26.94194,-40.46655,-13.14913,332.2462,358.2915,353.639
-31.0775,-39.72578,-11.60594,332.7969,357.6552,354.5224
-37.32131,-38.51998,-9.44361,333.8094,357.0078,355.5309
-46.08475,-37.32884,-8.349189,334.0114,356.2852,357.0075
-56.41313,-35.83419,-7.854883,333.8994,356.3765,357.9352
-67.35726,-34.33573,-7.791273,333.923,356.4553,358.7808
-78.44268,-33.32758,-6.918127,334.5441,356.5785,0.4987134
-87.38205,-32.0617,-6.671193,334.9763,356.9681,1.763023
-96.4948,-30.34556,-6.129444,335.1628,356.9183,3.153995
-104.8824,-29.47664,-6.162668,335.4191,357.0437,4.014122
-112.6707,-29.98066,-5.941574,335.5573,357.143,4.80343
-116.4137,-30.85291,-6.021884,336.2774,356.8684,5.886221
-117.9169,-30.95472,-6.049066,336.3032,356.8169,6.591851
-119.0705,-30.18212,-5.589887,336.2286,357.0334,6.540997
-119.6512,-29.53053,-4.937129,336.0492,357.2947,6.600905
-120.7051,-27.68993,-3.497774,335.4996,357.5966,6.365295
-122.0293,-24.46413,-1.689301,335.0383,357.7411,6.489651
-122.5036,-19.98508,-0.3178625,335.2499,358.3096,6.22171
-122.1755,-14.50706,1.274929,335.4615,358.7072,6.017396
-121.6517,-6.858826,3.211155,336.0193,358.9984,5.421134
-120.5074,2.078414,4.897813,336.2729,359.4332,4.83977
-118.9706,11.52134,6.80527,336.0407,359.7876,4.798353
-115.3599,29.33645,9.878804,336.5999,359.251,5.509685
-113.4535,47.62232,11.60185,337.646,358.6068,4.732909
-113.0177,63.78532,11.07419,339.0314,358.692,4.056075
-112.0791,75.42646,9.259919,339.7057,358.3492,4.204068
-110.2635,85.14583,7.341816,339.9787,358.2077,4.307424
-106.5921,93.86182,6.238642,340.4362,357.849,5.321851
-103.2279,99.7448,5.027505,340.8429,357.7563,5.496036
-102.489,101.3414,4.59433,341.1458,357.4619,5.556166
-102.3855,102.119,4.581865,341.1184,357.3258,5.849404
-102.2566,102.5869,4.364164,341.1488,357.5035,5.673345
-102.0971,103.3701,4.256608,341.0585,358.3028,5.767244
-97.97274,103.8023,6.510792,340.0183,1.802557,6.053876
-89.84605,104.8442,10.15704,339.3476,4.237853,6.449137
-78.01553,105.6931,14.2379,339.526,5.874681,7.867654
-63.07426,106.2527,18.93761,339.3701,6.803699,8.209466
-45.40752,106.6949,23.21548,339.8119,7.344201,8.677338
-24.68331,108.2816,23.61168,340.4409,7.721016,8.532988
-5.516852,108.9194,23.26142,341.6489,6.78827,8.250358
10.16086,108.9448,23.02316,342.2692,5.021463,8.003033
22.64233,108.9448,21.95043,343.1066,3.545085,8.446679
32.24228,108.9194,20.6098,343.706,2.748234,8.504846
42.30013,108.8412,18.65122,344.397,2.142499,9.170756
52.3651,107.9819,16.59674,344.7087,1.706979,8.051879
62.00353,107.2015,14.76198,344.9266,0.1596602,8.4839
72.38647,106.091,12.4778,345.1089,359.8809,7.787446
84.67744,101.496,10.56856,344.2987,359.1489,7.014171
95.63373,98.69016,9.119548,342.7235,358.3683,6.675756
